Index,x,y,z
0,-37.01235761,62.80944427,0
1,-57.77506506,-59.85954256,2412.453328
2,185.375752,91.37892017,6265.230804
3,563.4972756,300.4700628,10019.74726
4,340.7098076,-303.1721278,11370.59366
5,272.9112249,-1625.407388,11457.23811
6,197.2523936,-3502.723949,11459.73873
7,201.3114154,-5486.934063,11434.25803
8,146.0025311,-6428.683525,11458.48404
9,143.2383436,-7495.695613,11427.31578
10,37.01235761,-62.80944427,0
11,139.5912651,34.10294256,2405.238672
12,476.207448,91.42967983,6243.877196
13,398.0595244,-24.34246276,10018.91274
14,611.7177924,-202.5262722,11698.86634
15,699.1065751,-1599.146612,11736.70189
16,702.2734064,-3498.294651,11751.44127
17,757.0057846,-5478.119537,11783.02197
18,785.3972689,-6424.202675,11808.69596
19,831.2154564,-7486.009639,11839.26422
