TVD,LocalX,LocalY
0,0.0000,0.0000
170.9827,0.9891,1.8570
293.9714,1.7253,3.0012
387.9673,2.3121,3.4121
482.9631,2.9319,3.7648
577.9603,3.4078,3.2727
671.9561,3.8944,2.5636
798.9517,3.8037,1.5263
893.9494,4.0837,1.0266
987.9438,4.7129,0.2614
1081.936,4.7743,-0.8975
1208.925,4.9155,-2.5476
1302.921,5.1413,-3.2795
1396.921,5.0792,-3.4116
1491.921,4.8805,-3.6054
1552.917,4.7035,-4.1480
1653.908,4.5335,-5.5300
1842.829,8.5942,-8.2017
2031.603,17.3000,-11.2744
2220.282,28.0799,-13.1091
2408.846,40.9081,-12.8783
2596.305,54.9768,-10.7517
2784.67,69.9335,-6.8027
2972.965,85.4741,-1.8588
3161.094,102.6595,3.8656
3350.053,121.1895,10.9804
3537.967,139.3927,19.7864
3724.681,158.9290,29.7376
3912.355,179.7476,37.7274
4099.688,194.8656,41.3189
4288.393,205.3002,42.8765
4477.108,215.5287,44.6554
4664.815,225.7970,46.8203
4852.474,236.7021,49.7847
5041.112,247.7164,53.7204
5229.816,257.4756,57.7260
5324.695,261.8698,59.6723
5503.248,273.3236,64.6389
5690.474,289.1766,70.8725
5878.754,304.4817,76.9468
6066.124,318.1592,83.9580
6254.554,330.7916,91.4043
6443.022,343.3626,97.9152
6630.456,356.5726,104.1010
6818.886,369.9154,110.1814
7007.178,385.0226,116.3094
7195.193,403.0937,122.9798
7383.158,421.5012,130.1345
7571.372,438.0005,134.7093
7758.931,450.7332,135.7919
7947.705,459.9595,136.1266
8135.547,467.6655,136.3288
8324.42,474.5792,136.6801
8513.366,478.8015,136.2726
8702.356,480.5573,135.5149
8890.353,481.6983,135.3872
9079.35,482.6006,135.0176
9266.348,482.7752,134.4100
9454.347,482.7551,134.4357
9643.343,482.5625,135.5614
9831.334,481.5925,137.0803
10019.33,480.7784,138.0638
10207.32,479.6860,139.2576
10395.3,477.7201,140.9083
10585.29,476.9630,143.2078
10774.26,479.1815,145.4543
10868.23,481.1911,146.1622
10962.16,484.1835,144.5229
11056.1,488.3963,131.9598
11101.39,490.6283,119.6512
11145.53,492.4035,103.6485
11188.33,493.0790,84.2637
11230.75,492.4229,61.8207
11271.16,491.3590,37.8517
11310.28,490.3294,11.8318
11348.11,488.7318,-16.0087
11384.58,486.8473,-45.5865
11419.28,485.1873,-77.2298
11450.62,483.0266,-109.4381
11480.73,480.7195,-145.4304
11506.37,479.3950,-184.7459
11526.18,477.6928,-227.2875
11534.73,476.2138,-252.8492
11545.65,473.4153,-298.4592
11554.26,470.5866,-344.5777
11562.5,467.9553,-390.7744
11570.61,466.2879,-436.0213
11576.95,466.5304,-482.5712
11584.48,471.3890,-577.1374
11592.43,479.7773,-670.4158
11600.71,489.8172,-764.5172
11602.63,493.2340,-795.2677
11603.72,496.2374,-827.1040
11603.96,498.1243,-858.0443
11603.5,499.4980,-889.0094
11602.14,500.5525,-920.9614
11600.27,500.7421,-952.9039
11595.75,497.5301,-1046.7324
11595.1,492.7588,-1140.5949
11594.85,489.4623,-1234.5244
11592.2,487.9541,-1329.4746
11590.31,486.6255,-1423.4449
11591.97,485.7796,-1518.4110
11596.97,486.0089,-1612.2770
11601.86,485.7438,-1707.1491
11604.08,484.4152,-1801.1069
11601.86,481.9395,-1895.0360
11596.97,478.6119,-1989.8516
11593.77,474.8254,-2083.7154
11594.51,470.8731,-2177.6206
11596.17,466.7962,-2272.5154
11596.91,461.6967,-2366.3726
11600.19,455.9457,-2460.1310
11605.49,450.0559,-2554.7997
11608.28,446.5172,-2648.6708
11609.44,446.1690,-2743.6616
11607.7,447.0636,-2838.6185
11604.43,447.8836,-2934.5510
11603.45,447.9492,-3028.5458
11602.3,448.1788,-3122.5382
11602.14,448.4109,-3217.5346
11603.37,448.6406,-3311.5261
11604.6,449.1163,-3405.5168
11605.59,449.7629,-3500.5093
11606.17,451.3050,-3594.4939
11606.9,453.8312,-3688.4566
11608.55,456.9308,-3782.3905
11609.71,460.9749,-3877.2950
11609.05,465.2225,-3971.1953
11607.64,469.8462,-4066.0715
11605.92,473.0277,-4159.9941
11604.09,473.0028,-4254.9739
11603.35,470.2426,-4349.9256
11606.46,465.8834,-4443.7555
11612.51,462.3104,-4538.4939
11617.51,460.9020,-4632.3465
11622.11,461.6229,-4726.2299
11624.73,463.6564,-4820.1616
11625.14,466.9552,-4915.1021
11623.73,470.9161,-5010.0026
11620.13,474.5056,-5103.8645
11616.48,478.1332,-5198.7249
11612.42,480.2704,-5293.6082
11608.97,480.3357,-5387.5417
11608.64,479.1586,-5482.5268
11613.61,477.0731,-5577.3524
11618.2,474.1068,-5671.1669
11618.12,470.1950,-5766.0848
11616.21,465.8699,-5860.9655
11617.36,462.4917,-5954.8676
11622.77,460.8374,-6048.6965
11626.67,460.4902,-6143.6084
11629.98,461.5504,-6238.5409
11632.77,463.3378,-6332.4767
11633.59,465.6999,-6426.4431
11632.27,469.0809,-6521.3661
11628.58,472.7521,-6615.2215
11625.34,475.5519,-6710.1229
11623.7,478.1598,-6804.0712
11623.7,480.5219,-6898.038853
11624.61,482.3290,-6993.017227
11625.11,484.8821,-7087.980828
11626.18,486.9162,-7181.949305
11629.05,487.4739,-7275.902066
11631.62,487.4572,-7370.864544
11633.29,487.2269,-7490.852626
