TVD,LocalX,LocalY,Inc,Az,Angle,Radians,AxisSize,Cx,Cy,Cz
0,0,0,0,0.51,0,0,127.790954,127.790954,0,0
170.9827,0.9891,1.857,1.41,28.04,5,0.087266463,131.452275,130.9520594,11.45682066,0
293.9714,1.7253,3.0012,0.18,172.62,10,0.174532925,134.4578173,132.4151009,23.34835495,0
387.9673,2.3121,3.4121,0.97,45.53,15,0.261799388,136.7620438,132.1019902,35.39662159,0
482.9631,2.9319,3.7648,0.26,167.7,20,0.34906585,138.3313694,129.988967,47.31211478,0
577.9603,3.4078,3.2727,0.62,123.22,25,0.436332313,139.1435254,126.1068606,58.80459482,0
671.9561,3.8944,2.5636,0.53,171.91,30,0.523598776,139.1871693,120.5396245,69.59358466,0
798.9517,3.8037,1.5263,0.44,200.83,35,0.610865238,138.4616951,113.4211806,79.41836566,0
893.9494,4.0837,1.0266,0.53,111.18,40,0.698131701,136.9772231,104.9306406,88.04726183,0
987.9438,4.7129,0.2614,0.79,159.79,45,0.785398163,134.7547686,95.28601067,95.28601067,0
1081.936,4.7743,-0.8975,0.7,196.44,50,0.872664626,131.8266081,84.7365103,100.9850406,0
1208.925,4.9155,-2.5476,0.88,158.29,55,0.959931089,128.2368839,73.55365488,105.0455056,0
1302.921,5.1413,-3.2795,0.09,213.92,60,1.047197551,124.0425116,62.0212558,107.4239662,0
1396.921,5.0792,-3.4116,0.09,196.44,65,1.134464014,119.3144791,50.42447777,108.1356415,0
1491.921,4.8805,-3.6054,0.26,235.46,70,1.221730476,114.1396492,39.03805918,107.2561861,0
1552.917,4.7035,-4.148,0.88,187.73,75,1.308996939,108.6231813,28.11374807,104.9219362,0
1653.908,4.5335,-5.53,0.7,186.11,80,1.396263402,102.8916486,17.86694728,101.3284933,0
1842.829,8.5942,-8.2017,2.7,110.01,85,1.483529864,97.09676745,8.462540886,96.72728494,0
2031.603,17.3,-11.2744,2.9,108.91,90,1.570796327,91.41925992,5.60E-15,91.41925992,0
2220.282,28.0799,-13.1091,3.8,92.61,95,1.658062789,86.07153081,-7.501628197,85.74400265,0
2408.846,40.9081,-12.8783,4,85.51,100,1.745329252,81.2963983,-14.11697142,80.06132334,0
2596.305,54.9768,-10.7517,4.7,77.91,105,1.832595715,77.3573033,-20.02154337,74.72141711,0
